https://www.arcor.de,image/png,https://www.laregion.fr/plugins/occitanie/squelettes-occitanie/squelettes/favicon-32x32.png,France
https://www.arcor.de,image/png,https://www.laregion.fr/plugins/occitanie/squelettes-occitanie/squelettes/favicon-16x16.png,France
https://www.arcor.de,image/png,https://www.laregion.fr/plugins/occitanie/squelettes-occitanie/squelettes/favicon-96x96.png,France
https://www.arcor.de,text/javascript; charset=utf-8,https://a.ligatus.com/?ids=74855&t=js,Taiwan
https://www.arcor.de,application/javascript; charset=UTF-8,https://ssl.ligatus.com/render/ligrend.js?ts=10.29,Taiwan
https://www.arcor.de,text/javascript,https://static.criteo.net/js/ld/publishertag.standalone.js,Singapore
https://www.arcor.de,application/javascript,https://c.amazon-adsystem.com/aax2/apstag.js,United States
https://www.arcor.de,text/javascript;charset=UTF-8,"https://ad.yieldlab.net/yp/37775,37777,37779,66815,92685,119679,423660,428554,647106,5338143,5672756,37872?formats_37872=101,102,103,104,105,106,108,110,111,112,113,114,115,116,117,119&yl_rtb_pubkey=8464_50689704&t=&ts=0.37174542948376255",Taiwan
https://www.arcor.de,application/json; charset=utf-8,https://ib.adnxs.com/ut/v3/prebid,Singapore
https://www.arcor.de,text/javascript,https://static.criteo.net/js/ld/publishertag.standalone.js,Singapore
https://www.arcor.de,application/json,https://ssl.ligatus.com/rms/rend?id=74855&ua=-1313861106&pgw=1200&pgo=l&s=1,Taiwan
https://www.arcor.de,application/javascript,https://c.amazon-adsystem.com/bao-csm/aps-comm/aps_csm.js,United States
https://www.arcor.de,image/gif,https://ssl.ligatus.com/render/px.gif?ch=2,Taiwan
