host_name,IP_address,status_Message,grade,vul_to_Beast,vul_to_Heartbleed,vul_to_Poodle,vul_to_Freak,vul_to_Logjam,vul_to_Drown,vul_to_Sweet32,vul_to_Cross_Protocol,vul_to_RC4,vul_to_Renegotiation,vul_to_CRIME,support_fallback_SCSV,forward_secrecy,HSTS_status,HPKP_status,DH_use_known_primes,DH_Ys_reuse,cert_issues,cert_chain_issues,root_CA,CA_chain,Resistance_cnt,Resistance_cnt,Resistance_cnt,Resistance_cnt
https://www.gov-online.go.jp,219.127.199.203,Ready,B,False,False,False,False,False,False,False,False,False,False,False,NULL,1,absent,absent,NULL,NULL,0,0,"CN=DigiCert Global Root CA, OU=www.digicert.com, O=DigiCert Inc, C=US"," -> CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US -> CN=DigiCert Global Root CA, OU=www.digicert.com, O=DigiCert Inc, C=US",11,12,11,11
https://www.enecho.meti.go.jp,2600:1406:1a:3a0:0:0:0:42f8,Ready,A,False,False,False,False,False,False,False,False,False,False,False,NULL,4,present,absent,NULL,NULL,0,0,"CN=GlobalSign Root CA, OU=Root CA, O=GlobalSign nv-sa, C=BE"," -> CN=GlobalSign Organization Validation CA - SHA256 - G2, O=GlobalSign nv-sa, C=BE -> CN=GlobalSign Root CA, OU=Root CA, O=GlobalSign nv-sa, C=BE",11,11,12,11
https://www.chusho.meti.go.jp,2600:1406:1a:3a0:0:0:0:42f8,Ready,A,False,False,False,False,False,False,False,False,False,False,False,NULL,4,present,absent,NULL,NULL,0,0,"CN=GlobalSign Root CA, OU=Root CA, O=GlobalSign nv-sa, C=BE"," -> CN=GlobalSign Organization Validation CA - SHA256 - G2, O=GlobalSign nv-sa, C=BE -> CN=GlobalSign Root CA, OU=Root CA, O=GlobalSign nv-sa, C=BE",11,11,12,11
https://www.nims.go.jp,2001:2f8:1008:2:0:0:0:33,Ready,B,True,False,False,False,False,False,True,True,True,False,False,True,1,absent,absent,NULL,NULL,0,0,"OU=Security Communication RootCA2, O=""SECOM Trust Systems CO.,LTD."", C=JP"," -> CN=NII Open Domain CA - G5, O=National Institute of Informatics, C=JP -> OU=Security Communication RootCA2, O=""SECOM Trust Systems CO.,LTD."", C=JP",7,8,7,7
https://www.e-stat.go.jp,111.108.189.107,Ready,A,False,False,False,False,False,False,False,True,False,False,False,True,4,absent,absent,NULL,NULL,0,0,"CN=DigiCert Global Root CA, OU=www.digicert.com, O=DigiCert Inc, C=US"," -> CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US -> CN=DigiCert Global Root CA, OU=www.digicert.com, O=DigiCert Inc, C=US",10,11,10,10
https://www.nies.go.jp,158.210.250.9,Ready,B,True,False,False,False,False,False,False,False,False,False,False,True,1,absent,absent,0,False,0,0,"CN=DigiCert Global Root CA, OU=www.digicert.com, O=DigiCert Inc, C=US"," -> CN=Cybertrust Japan Secure Server CA, O=""Cybertrust Japan Co., Ltd."", C=JP -> CN=DigiCert Global Root CA, OU=www.digicert.com, O=DigiCert Inc, C=US",10,11,10,10
https://www.moj.go.jp,2403:7a00:1100:2:0:0:e0:1,Ready,B,True,False,False,False,False,False,False,False,False,False,False,True,4,absent,absent,0,False,0,0,"OU=Security Communication RootCA2, O=""SECOM Trust Systems CO.,LTD."", C=JP"," -> CN=SECOM Passport for Web SR 3.0 CA, O=""SECOM Trust Systems CO.,LTD."", C=JP -> OU=Security Communication RootCA2, O=""SECOM Trust Systems CO.,LTD."", C=JP",10,11,10,10
https://www.soumu.go.jp,2001:240:bb81:0:0:0:21:e0,Ready,T,True,False,False,False,False,False,False,False,False,False,False,True,2,absent,absent,NULL,NULL,1,2,"CN=ApplicationCA2 Root, OU=GPKI, O=Japanese Government, C=JP"," -> CN=ApplicationCA2 Sub, OU=GPKI, O=Japanese Government, C=JP -> CN=ApplicationCA2 Root, OU=GPKI, O=Japanese Government, C=JP",10,11,10,10
https://japan.kantei.go.jp/,2001:240:1e00:1021:0:0:0:11,Ready,B,True,False,False,False,False,False,False,True,False,False,False,True,1,absent,absent,0,True,0,0,"CN=GlobalSign Root CA, OU=Root CA, O=GlobalSign nv-sa, C=BE"," -> CN=GlobalSign Organization Validation CA - SHA256 - G2, O=GlobalSign nv-sa, C=BE -> CN=GlobalSign Root CA, OU=Root CA, O=GlobalSign nv-sa, C=BE",9,10,9,9
https://www.nict.go.jp,2001:240:bb81:0:0:0:21:d3,Ready,A,True,False,False,False,False,False,False,False,False,False,False,True,2,disabled,absent,NULL,NULL,0,0,"CN=GlobalSign Root CA, OU=Root CA, O=GlobalSign nv-sa, C=BE"," -> CN=GlobalSign Domain Validation CA - SHA256 - G2, O=GlobalSign nv-sa, C=BE -> CN=GlobalSign Root CA, OU=Root CA, O=GlobalSign nv-sa, C=BE",10,11,10,10
